Host,iucn
hipposideros cineraceus,hipposideros cineraceus
hipposideros crumeniferus,hipposideros crumeniferus
hipposideros diadema,hipposideros diadema
hipposideros fuliginosus,hipposideros fuliginosus
hipposideros galeritus,hipposideros galeritus
hipposideros grandis,hipposideros grandis
hipposideros jonesi,hipposideros jonesi
hipposideros lankadiva,hipposideros lankadiva
hipposideros larvatus,hipposideros larvatus
hipposideros lekaguli,hipposideros lekaguli
hipposideros pomona,hipposideros pomona
hipposideros pratti,hipposideros pratti
hipposideros ruber,hipposideros ruber
hipposideros speoris,hipposideros speoris
hipposideros terasensis,hipposideros armiger
hipposideros turpis,hipposideros turpis
hippotragus equinus,hippotragus equinus
hippotragus niger,hippotragus niger
histiotus laephotis,histiotus laephotis
histiotus macrotus,histiotus macrotus
histiotus montanus,histiotus montanus
histiotus velatus,histiotus velatus
holochilus chacarius,holochilus chacarius
holochilus sciureus,holochilus sciureus
homo sapiens,
hoolock hoolock,hoolock hoolock
hoplomys gymnurus,hoplomys gymnurus
hsunycteris thomasi,lonchophylla thomasi
hyaena hyaena,hyaena hyaena
hybomys lunaris,hybomys lunaris
hybomys univittatus,hybomys univittatus
hydrochoerus hydrochaeris,hydrochoerus hydrochaeris
hydromys chrysogaster,hydromys chrysogaster
hydropotes inermis,hydropotes inermis
hydrurga leptonyx,hydrurga leptonyx
hylaeamys laticeps,hylaeamys laticeps
hylaeamys megacephalus,hylaeamys megacephalus
hylaeamys yunganus,hylaeamys yunganus
hylobates agilis,hylobates agilis
hylobates albibarbis,hylobates albibarbis
hylobates lar,hylobates lar
hylobates moloch,hylobates moloch
hylobates muelleri,hylobates muelleri
hylobates pileatus,hylobates pileatus
hylobates sp.,
hylochoerus meinertzhageni,hylochoerus meinertzhageni
hylomyscus alleni,hylomyscus alleni
hylomyscus endorobae,hylomyscus endorobae
hylomyscus pamfi,hylomyscus pamfi
hylomyscus parvus,hylomyscus parvus
hylomyscus simus,hylomyscus alleni
hylomyscus stella,hylomyscus stella
hylopetes phayrei,hylopetes phayrei
hypsignathus monstrosus,hypsignathus monstrosus
hypsugo alaschanicus,hypsugo alaschanicus
hypsugo pulveratus,hypsugo pulveratus
hypsugo savii,hypsugo savii
hystrix africaeaustralis,hystrix africaeaustralis
hystrix brachyura,hystrix brachyura
hystrix cristata,hystrix cristata
hystrix indica,hystrix indica
ia io,ia io
ichneumia albicauda,ichneumia albicauda
ictidomys tridecemlineatus,ictidomys tridecemlineatus
indopacetus pacificus,indopacetus pacificus
indri indri,indri indri
inia boliviensis,inia geoffrensis
isoodon macrourus,isoodon macrourus
isoodon obesulus,isoodon obesulus
jaculus jaculus,jaculus jaculus
kerivoula argentata,kerivoula argentata
kerivoula hardwickii,kerivoula hardwickii
kerivoula minuta,kerivoula minuta
kerivoula pellucida,kerivoula pellucida
kerivoula titania,kerivoula titania
kobus ellipsiprymnus,kobus ellipsiprymnus
kobus kob,kobus kob
kobus leche,kobus leche
kobus megaceros,kobus megaceros
kogia breviceps,kogia breviceps
kogia sima,kogia sima
laephotis capensis,neoromicia capensis
lagenodelphis hosei,lagenodelphis hosei
lagenorhynchus acutus,lagenorhynchus acutus
lagenorhynchus albirostris,lagenorhynchus albirostris
lagenorhynchus obliquidens,lagenorhynchus obliquidens
lagenorhynchus obscurus,lagenorhynchus obscurus
lagorchestes conspicillatus,lagorchestes conspicillatus
lagothrix cana,lagothrix lagothricha
lagothrix lagotricha,lagothrix lagothricha
lagothrix lugens,lagothrix lagothricha
lagothrix poeppigii,lagothrix lagothricha
lagurus lagurus,lagurus lagurus
lama glama,lama guanicoe
lama guanicoe,lama guanicoe
lasionycteris noctivagans,lasionycteris noctivagans
lasiopodomys gregalis,microtus gregalis
lasiorhinus latifrons,lasiorhinus latifrons
lasiurus blossevillii,lasiurus blossevillii
lasiurus borealis,lasiurus borealis
lasiurus seminolus,lasiurus seminolus
lasiurus sp. (in: bats),
lemmus lemmus,lemmus lemmus
lemmus sibiricus,lemmus sibiricus
lemniscomys rosalia,lemniscomys rosalia
lemniscomys striatus,lemniscomys striatus
lemur catta,lemur catta
leontocebus fuscicollis,leontocebus fuscicollis
leontocebus nigricollis,leontocebus nigricollis
leontopithecus chrysomelas,leontopithecus chrysomelas
leontopithecus rosalia,leontopithecus rosalia
leopardus colocolo,leopardus colocolo
leopardus geoffroyi,leopardus geoffroyi
leopardus guigna,leopardus guigna
leopardus guttulus,leopardus guttulus
leopardus pardalis,leopardus pardalis
leopardus tigrinus,leopardus tigrinus
leopardus wiedii,leopardus wiedii
leopoldamys edwardsi,leopoldamys edwardsi
leopoldamys neilli,leopoldamys neilli
leopoldamys sabanus,leopoldamys sabanus
lepilemur edwardsi,lepilemur edwardsi
lepilemur mustelinus,lepilemur mustelinus
leptailurus serval,leptailurus serval
leptonychotes weddellii,leptonychotes weddellii
leptonycteris curasoae,leptonycteris curasoae
leptonycteris nivalis,leptonycteris nivalis
lepus americanus,lepus americanus
lepus californicus,lepus californicus
lepus capensis,lepus capensis
lepus corsicanus,lepus corsicanus
lepus europaeus,lepus europaeus
lepus granatensis,lepus granatensis
lepus saxatilis,lepus saxatilis
lepus timidus,lepus timidus
lichonycteris obscura,lichonycteris obscura
liomys adspersus,heteromys adspersus
liomys pictus,heteromys pictus
liomys salvini,heteromys salvini
lipotes vexillifer,lipotes vexillifer
lissonycteris angolensis,lissonycteris angolensis
litocranius walleri,litocranius walleri
lobodon carcinophaga,lobodon carcinophaga
lonchophylla robusta,lonchophylla robusta
lonchorhina aurita,lonchorhina aurita
lontra canadensis,lontra canadensis
lontra longicaudis,lontra longicaudis
lophocebus albigena,lophocebus albigena
